EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
632488,BOTTINEAU CO.,LANSFORD,4-Feb,2140,Thunderstorm Wind,87,0,0,0,0,0,0,5000000,250000,5250000,ND,CST-6,105435,C,9,BIS,Emergency Manager, , ,0,W,0,W,48.63,-101.38,48.63,-101.38,2013
638493,WEBSTER CO.,CAMDEN ON GAULEY,5-Feb,1600,Flood, ,0,0,0,0,0,0,5000000,0,5000000,WV,EST-5,105483,C,101,RLX,River/Stream Gage, , ,1,SW,0,ESE,38.3588,-80.61,38.3489,-80.575,2013
634933,SUMNER CO.,MITCHELLVILLE,6-Feb,200,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,TN,CST-6,105744,C,165,OHX,Emergency Manager, , ,1,WSW,1,SSE,36.6256,-86.5519,36.4078,-86.6746,2013
651732,ONONDAGA CO.,LONG BRANCH MANOR,7-Feb,1540,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,NY,EST-5,108803,C,67,BGM,Trained Spotter, , ,1,E,1,NNW,43.1321,-76.1977,43.1611,-76.2032,2013
649312,GOGEBIC CO.,JUNET,8-Feb,2055,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,MI,CST-6,108406,C,53,MQT,Law Enforcement, , ,10,WNW,9,N,46.555,-90.4116,46.6769,-89.9547,2013
652807,JACKSON CO.,ANDREW,9-Feb,503,Tornado, ,0,0,0,0,0,0,5000000,0,5000000,IA,CST-6,108970,C,97,DVN,NWS Storm Survey,1,50,0,SSW,1,ENE,42.1471,-90.6023,42.1541,-90.5853,2013
653944,JACKSON CO.,ANDREW,10-Feb,523,Thunderstorm Wind,61,0,0,0,0,0,0,5000000,0,5000000,IA,CST-6,108970,C,97,DVN,Law Enforcement, , ,1,SE,1,SE,42.14,-90.59,42.14,-90.59,2013
655469,FAYETTE CO.,BUTE,11-Feb,1950,Flash Flood, ,0,0,0,0,0,0,5000000,0,5000000,PA,EST-5,108168,C,51,PBZ,Emergency Manager, , ,1,ESE,1,SSW,39.9408,-79.7004,39.9519,-79.5795,2013
663950,WILLIAMSBURG (ZONE), ,12-Feb,400,Hurricane (Typhoon), ,0,0,0,0,0,0,5000000,0,5000000,SC,EST-5,111078,Z,39,ILM,NWS Storm Survey, , , , , , , , , , ,2013
664344,VIRGINIA BEACH (C) CO.,CAPE HENRY,13-Feb,1915,Flood, ,0,0,0,0,0,0,5000000,0,5000000,VA,EST-5,111316,C,810,AKQ,Law Enforcement, , ,0,N,8,E,36.92,-76,36.5638,-75.8785,2013
